Seat,Polls Close (PST),Incumbent,Primary,2017 PVI,Democratic Candidate,Republican Candidate,Tyler's Prediction,David's Prediction,Result
Tennessee 8,5:00 PM,Kustoff,August 2,R+19,,,r,r,
Tennessee 9,5:00 PM,Cohen,August 2,D+28,,,d,d,
Texas 1,5:00 PM,Gohmert,,R+25,McKellar,Gohmert,r,r,
Texas 2,5:00 PM,Poe (Open),,R+11,Litton,Crenshaw,r,r,
Texas 3,5:00 PM,S. Johnson (Open),,R+13,Burch,Taylor,r,r,
Texas 4,5:00 PM,Ratcliffe,,R+28,Krantz,Ratcliffe,r,r,
Texas 5,5:00 PM,Hensarling (Open),,R+16,Wood,Gooden,r,r,
Texas 6,5:00 PM,Barton (Open),,R+9,Sanchez,Wright,r,r,
Texas 7,5:00 PM,Culberson,,R+7,Fletcher,Culberson,d,r,
Texas 8,5:00 PM,Brady,,R+28,David,Brady,r,r,
Texas 9,5:00 PM,A. Green,,D+29,Green,None,d,d,
Texas 10,5:00 PM,McCaul,,R+9,Siegel,McCaul,r,r,
Texas 11,5:00 PM,Conaway,,R+32,Leeder,Conaway,r,r,
Texas 12,5:00 PM,Granger,,R+18,Adia,Granger,r,r,
Texas 13,5:00 PM,Thornberry,,R+33,Sagan,Thornberry,r,r,
Texas 14,5:00 PM,Weber,,R+12,Bell,Weber,r,r,
Texas 15,5:00 PM,González,,D+7,Gonzalez,Westley,d,d,
Texas 16,6:00 PM,O'Rourke (Open),,D+17,Escobar,Seeberger,d,d,
Texas 17,5:00 PM,Flores,,R+12,Kennedy,Flores,r,r,
Texas 18,5:00 PM,Lee,,D+27,Leeder,Pate,d,d,
Texas 19,5:00 PM,Arrington,,R+27,Levario,Arrington,r,r,
Texas 20,5:00 PM,Castro,,D+10,Castro,N/A,d,d,
Texas 21,5:00 PM,Smith (Open),,R+10,Kopser,Roy,r,r,
Texas 22,5:00 PM,Olson,,R+10,Kulkarni,Olson,r,r,
Texas 23,5:00 PM (6:00 PM),Hurd,,R+1,Jones,Hurd,d,d,
Texas 24,5:00 PM,Marchant,,R+9,McDowell,Marchant,r,r,
Texas 25,5:00 PM,Williams,,R+11,Oliver,Williams,r,r,
Texas 26,5:00 PM,Burgess,,R+18,Fagan,Burges,r,r,
Texas 27,5:00 PM,Farenthold (Open),,R+13,Holguin,Cloud,r,r,
Texas 28,5:00 PM,Cuellar,,D+9,Cuellar,N/A,d,d,
Texas 29,5:00 PM,G. Green,,D+19,Garcia,Aronoff,d,d,
Texas 30,5:00 PM,E. Johnson,,D+29,Johnson,N/A,d,d,
Texas 31,5:00 PM,Carter,,R+10,Hegar,Carter,r,r,
Texas 32,5:00 PM,Sessions,,R+5,Allred,Sessions,d,d,
Texas 33,5:00 PM,Veasey,,D+23,Veasey,Billups,d,d,
Texas 34,5:00 PM,Vela,,D+10,Vela,Gonzalez,d,d,
Texas 35,5:00 PM,Doggett,,D+15,Doggett,Smalling,d,d,
Texas 36,5:00 PM,Babin,,R+26,Steele,Babin,r,r,
Utah 1,7:00 PM,Bishop,,R+26,Castillo,Bishop,r,r,
Utah 2,7:00 PM,Stewart,,R+16,Ghorbani,Stewart,r,r,
Utah 3,7:00 PM,Curtis,,R+25,Singer,Curtis,r,r,
Utah 4,7:00 PM,Love,,R+13,McAdams,Love,r,r,
Vermont at Large,4:00 PM,Welch,August 14,D+15,,,d,d,
Virginia 1,4:00 PM,Wittman,,R+8,Williams,Wittman,r,r,
Virginia 2,4:00 PM,Taylor,,R+3,Luria,Taylor,r,d,
Virginia 3,4:00 PM,Scott,,D+16,Scott,N/A,d,d,
Virginia 4,4:00 PM,McEachin,,D+10,McEachin,McAdams,d,d,
Virginia 5,4:00 PM,Garrett (Open),,R+6,Cockburn,Riggleman,r,r,
Virginia 6,4:00 PM,Goodlatte (Open),,R+13,Lewis,Cline,r,r,
Virginia 7,4:00 PM,Brat,,R+6,Spanberger,Brat,d,r,
Virginia 8,4:00 PM,Beyer,,D+21,Beyer,Oh,d,d,
Virginia 9,4:00 PM,Griffith,,R+19,Flaccavento,Griffith,r,r,
Virginia 10,4:00 PM,Comstock,,D+1,Wexton,Comstock,d,d,
Virginia 11,4:00 PM,Connolly,,D+15,Connolly,Dove,d,d,
Washington 1,8:00 PM,DelBene,August 7,D+6,,,d,d,
Washington 2,8:00 PM,Larsen,August 7,D+10,,,d,d,
Washington 3,8:00 PM,Herrera Beutler,August 7,R+4,,,r,r,
Washington 4,8:00 PM,Newhouse,August 7,R+13,,,r,r,
Washington 5,8:00 PM,McMorris Rodgers,August 7,R+8,,,r,r,
Washington 6,8:00 PM,Kilmer,August 7,D+6,,,d,d,
Washington 7,8:00 PM,Jayapal,August 7,D+33,,,d,d,
Washington 8,8:00 PM,Reichert,August 7,EVEN,,,d,d,
Washington 9,8:00 PM,Smith,August 7,D+21,,,d,d,
Washington 10,8:00 PM,Heck,August 7,D+5,,,d,d,
West Virginia 1,4:30 PM,McKinley,,R+19,Fershee,McKinley,r,r,
West Virginia 2,4:30 PM,Mooney,,R+17,Sergent,Mooney,r,r,
West Virginia 3,4:30 PM,Jenkins (Open),,R+23,Ojeda,Miller,r,d,
Wisconsin 1,6:00 PM,Ryan (Open),August 14,R+5,,,r,d,
Wisconsin 2,6:00 PM,Pocan,August 14,D+18,,,d,d,
Wisconsin 3,6:00 PM,Kind,August 14,EVEN,,,d,d,
Wisconsin 4,6:00 PM,Moore,August 14,D+25,,,d,d,
Wisconsin 5,6:00 PM,Sensenbrenner,August 14,R+13,,,r,r,
Wisconsin 6,6:00 PM,Grothman,August 14,R+8,,,r,r,
Wisconsin 7,6:00 PM,Duffy,August 14,R+8,,,r,r,
Wisconsin 8,6:00 PM,Gallagher,August 14,R+7,,,r,r,
Wyoming at Large,6:00 PM,Cheney,August 21,R+25,,,r,r,
